customer_customerNumber,customer_customerName,customer_customerType,customer_contactFirstName,customer_contactLastName,customer_phone,customer_addressLine1,customer_addressLine2,customer_postalCode,customer_county,customer_subCounty,customer_customerLocation,customer_status,customer_statusText
25,[Business] Leopard Beach Manor,Business,Michelle,Malema,0787410218,469 Nakuru Blvd,Apt 42,75843,Nakuru,Gilgil,"Nakuru, Kenya",1,Active
26,Mutiso Adan,Individual,Mutiso,Adan,0778063705,320 Karen Rd,Apt 54,45990,Baringo,Nyando,"Baringo, Kenya",1,Active
27,[Business] Fairmont Palace,Business,Otieno,Mandela,0797361152,981 Nairobi St,Apt 100,67681,Nairobi,Kisumu Central,"Nairobi, Kenya",0,Dormant
28,[Business] Ole Sereni Retreat,Business,Marie,Mohammed,0721312641,225 Mombasa Rd,Apt 45,70259,Meru,Kesses,"Meru, Kenya",1,Active
29,Kamau Hussein,Individual,Kamau,Hussein,0700517304,421 Karen Rd,Apt 22,53856,Tharaka-Nithi,Kasarani,"Tharaka-Nithi, Kenya",0,Dormant
30,Njeri Mwangi,Individual,Njeri,Mwangi,0718785800,6 James Gichuru Rd,Apt 27,27036,Mombasa,Changamwe,"Mombasa, Kenya",1,Active
31,Pauline Ahmed,Individual,Pauline,Ahmed,0716422290,367 Dennis Pritt Rd,Apt 81,77657,Nairobi,Gilgil,"Nairobi, Kenya",0,Dormant
32,Michelle Zuma,Individual,Michelle,Zuma,0776151008,469 Mombasa Rd,Apt 22,23666,Tharaka-Nithi,Eldoret East,"Tharaka-Nithi, Kenya",0,Dormant
33,[Business] Nyali Manor,Business,Alaine,Muthoni,0737193089,43 Langata Rd,Apt 48,35839,Nakuru,Embakasi,"Nakuru, Kenya",1,Active
34,[Business] InterContinental Hotel,Business,Kiptoo,Muthoni,0712666826,374 Thika Rd,Apt 44,10907,Mandera,Likoni,"Mandera, Kenya",1,Active
35,[Business] PrideInn Residences,Business,Michelle,Abdullahi,0776485447,898 Limuru Rd,Apt 9,87113,Tharaka-Nithi,Kisumu Central,"Tharaka-Nithi, Kenya",1,Active
36,[Business] Boma Suites,Business,Njeri,Omar,0753780554,121 Kilimani Rd,Apt 79,72900,Meru,Nyando,"Meru, Kenya",1,Active
37,[Business] Sarova Residences,Business,Patrick,Ndayishimiye,0704139475,942 Buruburu Rd,Apt 39,11518,Kitui,Gilgil,"Kitui, Kenya",0,Dormant
38,Kamau Malema,Individual,Kamau,Malema,0726824918,967 Kenyatta Ave,Apt 58,8721,Muranga,Nyando,"Muranga, Kenya",0,Dormant
39,Amina Munzala,Individual,Amina,Munzala,0750431997,704 State House Rd,Apt 17,46925,Isiolo,Jomvu,"Isiolo, Kenya",0,Dormant
40,Jacques Mutombo,Individual,Jacques,Mutombo,0762480784,265 Mbagathi Way,Apt 73,51566,Nyeri,Kisumu East,"Nyeri, Kenya",1,Active
41,[Business] Safari Manor,Business,Alaine,Kiplagat,0753983470,546 Donholm Rd,Apt 38,77089,Laikipia,Kisumu Central,"Laikipia, Kenya",1,Active
42,Kamau Omondi,Individual,Kamau,Omondi,0778314497,97 Limuru Rd,Apt 71,63780,Mandera,Kisumu Central,"Mandera, Kenya",0,Dormant
43,Felix Abdi,Individual,Felix,Abdi,0707293875,442 Langata Rd,Apt 14,43406,Wajir,Likoni,"Wajir, Kenya",1,Active
44,Michelle Mbeki,Individual,Michelle,Mbeki,0758341035,853 Mbagathi Way,Apt 97,29945,Machakos,Kesses,"Machakos, Kenya",1,Active
45,Emmanuel Munee,Individual,Emmanuel,Munee,0735643636,844 South B Rd,Apt 35,74572,Eldoret,Kisumu Central,"Eldoret, Kenya",0,Dormant
46,Marie Mbeki,Individual,Marie,Mbeki,0718492642,246 Kimathi St,Apt 67,32733,Baringo,Changamwe,"Baringo, Kenya",1,Active
47,Alain Abdi,Individual,Alain,Abdi,0776346565,429 Mama Ngina St,Apt 32,53099,Kiambu,Kisauni,"Kiambu, Kenya",1,Active
48,[Business] Serena Retreat,Business,Kamau,Nkurunziza,0789787041,718 Eldoret Ln,Apt 18,58678,Embu,Moiben,"Embu, Kenya",0,Dormant
49,[Business] Sarova Retreat,Business,Amina,Lumumba,0744317796,794 Eldoret Ln,Apt 48,44192,Machakos,Jomvu,"Machakos, Kenya",0,Dormant
50,Achieng Mbeki,Individual,Achieng,Mbeki,0755887700,596 Moi Ave,Apt 11,4934,Isiolo,Kisumu Central,"Isiolo, Kenya",1,Active
51,Alain Hassan,Individual,Alain,Hassan,0748965940,788 Mama Ngina St,Apt 74,33893,Wajir,Muhoroni,"Wajir, Kenya",0,Dormant
52,Josephine Munyui,Individual,Josephine,Munyui,0720258709,972 Mbagathi Way,Apt 38,54238,Garissa,Kisumu West,"Garissa, Kenya",0,Dormant
53,[Business] Boma Residences,Business,Jacqueline,Mandela,0784816760,553 Kisumu Ave,Apt 4,41077,Nakuru,Nyando,"Nakuru, Kenya",0,Dormant
54,[Business] Hemingways Haven,Business,Mwangi,Ali,0724087587,931 Kisumu Ave,Apt 20,14631,Muranga,Changamwe,"Muranga, Kenya",1,Active
55,Felix Ndayishimiye,Individual,Felix,Ndayishimiye,0736119588,295 Kimathi St,Apt 74,87786,Kisumu,Gilgil,"Kisumu, Kenya",1,Active
56,Alain Mandela,Individual,Alain,Mandela,0748335258,970 Karen Rd,Apt 78,19960,Eldoret,Jomvu,"Eldoret, Kenya",0,Dormant
57,Amina Munyua,Individual,Amina,Munyua,0750217301,699 Runda Dr,Apt 44,30731,Kiambu,Westlands,"Kiambu, Kenya",0,Dormant
58,Felix Munyui,Individual,Felix,Munyui,0777632117,543 Kileleshwa Rd,Apt 83,69596,Nakuru,Nakuru Town,"Nakuru, Kenya",1,Active
59,[Business] Swahili Resort,Business,Marie,Njoroge,0728177595,92 Kisumu Ave,Apt 90,42843,Baringo,Moiben,"Baringo, Kenya",0,Dormant
60,[Business] Baobab Hotel,Business,Michel,Omondi,0751289738,327 State House Rd,Apt 45,22802,Laikipia,Embakasi,"Laikipia, Kenya",1,Active
61,[Business] Serena Residences,Business,Mutiso,Omondi,0792333279,547 Donholm Rd,Apt 82,72756,Machakos,Embakasi,"Machakos, Kenya",0,Dormant
62,[Business] Sarova Manor,Business,Kamau,Mbeki,0711854736,931 Buruburu Rd,Apt 26,67553,Nairobi,Kisumu Central,"Nairobi, Kenya",1,Active
63,Michel Omar,Individual,Michel,Omar,0755541077,388 James Gichuru Rd,Apt 28,81846,Eldoret,Naivasha,"Eldoret, Kenya",0,Dormant
64,[Business] Villa Rosa Suites,Business,Josephine,Munywe,0776292869,809 Runda Dr,Apt 36,62526,Machakos,Dagoretti,"Machakos, Kenya",1,Active
65,Patrick Ali,Individual,Patrick,Ali,0766659783,900 Moi Ave,Apt 49,10451,Kitui,Eldoret East,"Kitui, Kenya",1,Active
66,Mutiso Kabongo,Individual,Mutiso,Kabongo,0720316485,256 Kilimani Rd,Apt 49,24838,Muranga,Kasarani,"Muranga, Kenya",1,Active
67,Amina Omar,Individual,Amina,Omar,0754783027,626 Eldoret Ln,Apt 64,61747,Nakuru,Subukia,"Nakuru, Kenya",1,Active
68,Jean Mandela,Individual,Jean,Mandela,0718751026,421 Runda Dr,Apt 41,62502,Kisumu,Jomvu,"Kisumu, Kenya",0,Dormant
69,Mutiso Nkurunziza,Individual,Mutiso,Nkurunziza,0784700842,924 Donholm Rd,Apt 46,26578,Eldoret,Kisumu Central,"Eldoret, Kenya",0,Dormant
70,[Business] Serena Resort,Business,Emmanuelle,Kabongo,0761928305,621 Karen Rd,Apt 17,74470,Wajir,Eldoret East,"Wajir, Kenya",0,Dormant
71,[Business] Severin Retreat,Business,Wanjiku,Abdullahi,0735084671,565 Uhuru Hwy,Apt 19,10481,Wajir,Eldoret West,"Wajir, Kenya",1,Active
72,Marie Munyuli,Individual,Marie,Munyuli,0787738037,977 Gigiri Rd,Apt 96,68537,Kisumu,Westlands,"Kisumu, Kenya",0,Dormant
73,[Business] Swahili Retreat,Business,Pauline,Muthoni,0720237722,925 James Gichuru Rd,Apt 26,54397,Nyeri,Langata,"Nyeri, Kenya",1,Active
74,[Business] Baobab Suites,Business,Achieng,Munyao,0767937954,835 Buruburu Rd,Apt 86,69576,Tharaka-Nithi,Westlands,"Tharaka-Nithi, Kenya",1,Active
75,Josephine Ali,Individual,Josephine,Ali,0731015737,733 Riverside Dr,Apt 5,52341,Nairobi,Langata,"Nairobi, Kenya",0,Dormant
76,[Business] Baobab Suites,Business,Emmanuelle,Malema,0751188554,658 Mombasa Rd,Apt 91,24048,Kitui,Kisumu East,"Kitui, Kenya",1,Active
77,Claudine Omondi,Individual,Claudine,Omondi,0716638130,202 Tom Mboya St,Apt 88,30733,Baringo,Nyando,"Baringo, Kenya",0,Dormant
78,[Business] Hilton Resort,Business,Felix,Muthoni,0787246777,44 South C Rd,Apt 91,69923,Garissa,Nyando,"Garissa, Kenya",0,Dormant
79,Felicite Kabongo,Individual,Felicite,Kabongo,0795503533,748 Lavington Rd,Apt 38,28707,Mandera,Kisumu West,"Mandera, Kenya",1,Active
80,[Business] Hemingways Suites,Business,Wanjiku,Kagame,0788672178,144 Kilimani Rd,Apt 15,33497,Nakuru,Kisumu East,"Nakuru, Kenya",1,Active
81,[Business] Fairmont Palace,Business,Jeanne,Mbeki,0770471384,919 Eldoret Ln,Apt 56,78204,Mandera,Embakasi,"Mandera, Kenya",0,Dormant
82,[Business] InterContinental Lodge,Business,Pierre,Ali,0769263679,577 State House Rd,Apt 30,79350,Meru,Changamwe,"Meru, Kenya",1,Active
83,[Business] Baobab Resort,Business,Mutiso,Ibrahim,0743204466,503 Runda Dr,Apt 50,64752,Mombasa,Jomvu,"Mombasa, Kenya",0,Dormant
84,[Business] Swahili Palace,Business,Michel,Hussein,0775898515,611 Waiyaki Way,Apt 15,46614,Muranga,Subukia,"Muranga, Kenya",0,Dormant
85,[Business] Fairmont Resort,Business,Otieno,Kabongo,0702737266,768 Kileleshwa Rd,Apt 9,18922,Mandera,Nakuru Town,"Mandera, Kenya",1,Active
86,Alain Munywe,Individual,Alain,Munywe,0794919966,965 Ngong Rd,Apt 93,17110,Machakos,Moiben,"Machakos, Kenya",1,Active
87,[Business] Villa Rosa Residences,Business,Jacques,Mbeki,0742588100,868 Lavington Rd,Apt 22,50362,Tharaka-Nithi,Changamwe,"Tharaka-Nithi, Kenya",0,Dormant
88,[Business] Tamarind Palace,Business,Pierre,Munzala,0779756848,264 Karen Rd,Apt 40,27729,Kitui,Turbo,"Kitui, Kenya",0,Dormant
89,[Business] Baobab Hotel,Business,Jean,Osman,0716162470,71 Karen Rd,Apt 85,69954,Wajir,Kesses,"Wajir, Kenya",0,Dormant
90,Paul Munyua,Individual,Paul,Munyua,0787339549,767 Koinange St,Apt 15,16294,Nairobi,Eldoret West,"Nairobi, Kenya",1,Active
91,Njeri Njoroge,Individual,Njeri,Njoroge,0755863122,637 Waiyaki Way,Apt 53,61311,Wajir,Eldoret East,"Wajir, Kenya",0,Dormant
92,Michelle Mugabe,Individual,Michelle,Mugabe,0718534882,334 South C Rd,Apt 26,29298,Embu,Kisumu East,"Embu, Kenya",0,Dormant
93,[Business] Hemingways Inn,Business,Mutiso,Omar,0708739932,894 Kenyatta Ave,Apt 53,87962,Kiambu,Subukia,"Kiambu, Kenya",1,Active
94,Emmanuel Abdullahi,Individual,Emmanuel,Abdullahi,0795539166,314 Moi Ave,Apt 24,61031,Tharaka-Nithi,Eldoret East,"Tharaka-Nithi, Kenya",1,Active
95,[Business] Tamarind Inn,Business,Pierre,Munywe,0775900724,910 Haile Selassie Ave,Apt 72,63332,Kisumu,Moiben,"Kisumu, Kenya",1,Active
96,[Business] Ole Sereni Resort,Business,Joseph,Munywe,0741941885,738 Donholm Rd,Apt 46,45819,Nakuru,Molo,"Nakuru, Kenya",0,Dormant
97,Jeanne Munywe,Individual,Jeanne,Munywe,0773257253,864 James Gichuru Rd,Apt 57,80144,Isiolo,Nyali,"Isiolo, Kenya",0,Dormant
98,Alain Ali,Individual,Alain,Ali,0701492032,943 Dennis Pritt Rd,Apt 22,85561,Garissa,Subukia,"Garissa, Kenya",1,Active
99,[Business] Fairmont Resort,Business,Patricia,Wanyama,0717283512,41 Donholm Rd,Apt 43,42725,Meru,Jomvu,"Meru, Kenya",1,Active
100,[Business] Boma Hotel,Business,Mwangi,Wanyama,0705789012,801 Kimathi St,Apt 88,38801,Mandera,Gilgil,"Mandera, Kenya",0,Dormant
101,Wambui Mugabe,Individual,Wambui,Mugabe,0716654114,991 State House Rd,Apt 23,48264,Meru,Nyali,"Meru, Kenya",0,Dormant
102,Kamau Kabila,Individual,Kamau,Kabila,0766329782,347 Buruburu Rd,Apt 3,28628,Baringo,Jomvu,"Baringo, Kenya",0,Dormant
103,[Business] Nyali Manor,Business,Felix,Omondi,0752695188,439 Kiambu Rd,Apt 34,73328,Kiambu,Molo,"Kiambu, Kenya",1,Active
104,Claudine Nkurunziza,Individual,Claudine,Nkurunziza,0757162315,385 Langata Rd,Apt 91,31749,Tharaka-Nithi,Changamwe,"Tharaka-Nithi, Kenya",1,Active
105,[Business] Ole Sereni Inn,Business,Jean,Munyao,0770110600,347 Koinange St,Apt 29,81498,Baringo,Kisumu East,"Baringo, Kenya",0,Dormant
106,Otieno Munyuli,Individual,Otieno,Munyuli,0746058568,330 Dennis Pritt Rd,Apt 24,15552,Mandera,Moiben,"Mandera, Kenya",1,Active
107,[Business] PrideInn Lodge,Business,Patrick,Kabongo,0728281252,76 Mombasa Rd,Apt 89,9056,Muranga,Kisumu West,"Muranga, Kenya",1,Active
108,Pierrette Hassan,Individual,Pierrette,Hassan,0785967742,817 Langata Rd,Apt 42,75640,Mandera,Dagoretti,"Mandera, Kenya",1,Active
109,[Business] Sarova Residences,Business,Felicite,Mbeki,0767755053,937 Kiambu Rd,Apt 77,65078,Isiolo,Kisumu West,"Isiolo, Kenya",0,Dormant
110,[Business] Nyali Residences,Business,Michelle,Malema,0708970952,618 Ngong Rd,Apt 4,69175,Eldoret,Jomvu,"Eldoret, Kenya",1,Active
111,Achieng Ochieng,Individual,Achieng,Ochieng,0762556460,993 Uhuru Hwy,Apt 6,19399,Mombasa,Moiben,"Mombasa, Kenya",0,Dormant
112,[Business] PrideInn Retreat,Business,Emmanuelle,Nkurunziza,0741114184,478 Eldoret Ln,Apt 77,86385,Eldoret,Molo,"Eldoret, Kenya",0,Dormant
113,[Business] Tamarind Inn,Business,Alaine,Omar,0703357092,674 Mama Ngina St,Apt 100,29229,Tharaka-Nithi,Subukia,"Tharaka-Nithi, Kenya",1,Active
114,[Business] Severin Manor,Business,Pauline,Muthoni,0730287486,249 Tom Mboya St,Apt 45,53011,Embu,Likoni,"Embu, Kenya",1,Active
115,[Business] Boma Retreat,Business,Achieng,Munyuli,0700613517,360 Nakuru Blvd,Apt 39,10350,Mandera,Dagoretti,"Mandera, Kenya",0,Dormant
116,[Business] Leopard Beach Hotel,Business,Achieng,Mwangi,0707053371,631 Embakasi Rd,Apt 92,82901,Machakos,Kisumu East,"Machakos, Kenya",0,Dormant
117,Pierrette Abdi,Individual,Pierrette,Abdi,0796118354,727 Kilimani Rd,Apt 51,76474,Nyeri,Subukia,"Nyeri, Kenya",1,Active
118,[Business] Neptune Palace,Business,Claude,Mugabe,0772296364,449 Parklands Rd,Apt 50,19927,Nyeri,Likoni,"Nyeri, Kenya",0,Dormant
119,[Business] Hilton Lodge,Business,Paul,Munyuli,0754162006,323 Mombasa Rd,Apt 61,25010,Wajir,Eldoret East,"Wajir, Kenya",1,Active
120,[Business] Neptune Palace,Business,Felicite,Mandela,0778548223,661 Embakasi Rd,Apt 89,75030,Meru,Kisauni,"Meru, Kenya",0,Dormant
121,Wanjiku Abdi,Individual,Wanjiku,Abdi,0710685846,996 Haile Selassie Ave,Apt 61,81697,Garissa,Molo,"Garissa, Kenya",0,Dormant
122,Mutiso Kabila,Individual,Mutiso,Kabila,0793348463,699 Waiyaki Way,Apt 94,44366,Garissa,Kisumu West,"Garissa, Kenya",0,Dormant
123,Claude Lumumba,Individual,Claude,Lumumba,0741620870,790 James Gichuru Rd,Apt 43,56943,Wajir,Kasarani,"Wajir, Kenya",0,Dormant
124,[Business] Diani Haven,Business,Jacques,Adan,0757885393,537 Kisumu Ave,Apt 70,29415,Eldoret,Changamwe,"Eldoret, Kenya",0,Dormant
125,Pierre Odhiambo,Individual,Pierre,Odhiambo,0769533063,472 Riverside Dr,Apt 84,57012,Machakos,Westlands,"Machakos, Kenya",1,Active
126,Alain Odhiambo,Individual,Alain,Odhiambo,0799511871,679 Ngong Rd,Apt 56,21897,Kiambu,Nyando,"Kiambu, Kenya",1,Active
127,[Business] Villa Rosa Suites,Business,Pierre,Mbeki,0793726530,188 Ngong Rd,Apt 26,28205,Nyeri,Nakuru Town,"Nyeri, Kenya",1,Active
128,[Business] Neptune Hotel,Business,Wanjiku,Muthoni,0709752959,554 Buruburu Rd,Apt 25,18045,Laikipia,Likoni,"Laikipia, Kenya",1,Active
129,[Business] Hilton Haven,Business,Jacques,Ochieng,0784776916,574 Riverside Dr,Apt 60,41093,Baringo,Subukia,"Baringo, Kenya",1,Active
130,Pierre Abdullahi,Individual,Pierre,Abdullahi,0705470795,651 Kisumu Ave,Apt 54,56826,Kiambu,Nyali,"Kiambu, Kenya",1,Active
131,[Business] InterContinental Suites,Business,Marie,Mbeki,0786690442,547 Mbagathi Way,Apt 71,52742,Laikipia,Kisumu West,"Laikipia, Kenya",0,Dormant
132,Joseph Mandela,Individual,Joseph,Mandela,0738478804,55 Kimathi St,Apt 51,73037,Eldoret,Eldoret West,"Eldoret, Kenya",1,Active
133,Jacqueline Mandela,Individual,Jacqueline,Mandela,0780852580,975 Uhuru Hwy,Apt 79,73925,Nyeri,Subukia,"Nyeri, Kenya",1,Active
134,Pauline Abdullahi,Individual,Pauline,Abdullahi,0726736973,496 Thika Rd,Apt 66,61301,Marsabit,Eldoret East,"Marsabit, Kenya",0,Dormant
135,Wambui Munywe,Individual,Wambui,Munywe,0708518758,182 Kiambu Rd,Apt 28,4968,Mandera,Moiben,"Mandera, Kenya",1,Active
136,[Business] Villa Rosa Manor,Business,Jeanne,Mbeki,0713466538,132 Mama Ngina St,Apt 63,81467,Meru,Westlands,"Meru, Kenya",1,Active
137,Pauline Zuma,Individual,Pauline,Zuma,0793034652,871 Kileleshwa Rd,Apt 57,75765,Eldoret,Turbo,"Eldoret, Kenya",1,Active
138,[Business] InterContinental Lodge,Business,Mutiso,Munyao,0787736565,249 Kileleshwa Rd,Apt 89,37440,Mombasa,Eldoret East,"Mombasa, Kenya",1,Active
139,[Business] Hilton Retreat,Business,Pierrette,Yusuf,0792939059,766 Nakuru Blvd,Apt 66,67127,Garissa,Langata,"Garissa, Kenya",0,Dormant
140,Felix Mugisha,Individual,Felix,Mugisha,0705926453,949 Koinange St,Apt 87,23561,Meru,Likoni,"Meru, Kenya",1,Active
141,[Business] Voyager Manor,Business,Wanjiku,Adan,0798485919,752 Mama Ngina St,Apt 77,4358,Mombasa,Changamwe,"Mombasa, Kenya",1,Active
142,Claude Malema,Individual,Claude,Malema,0763436498,825 Mbagathi Way,Apt 21,37266,Machakos,Kisumu Central,"Machakos, Kenya",1,Active
143,Kiptoo Abdullahi,Individual,Kiptoo,Abdullahi,0703989598,967 Thika Rd,Apt 39,37521,Baringo,Kesses,"Baringo, Kenya",1,Active
144,Jeanne Lumumba,Individual,Jeanne,Lumumba,0701254885,281 Mombasa Rd,Apt 83,35467,Isiolo,Kisumu East,"Isiolo, Kenya",1,Active
145,[Business] Swahili Suites,Business,Jeanne,Mbeki,0778358317,818 Buruburu Rd,Apt 40,20593,Isiolo,Kisumu East,"Isiolo, Kenya",0,Dormant
146,Pierrette Munyuli,Individual,Pierrette,Munyuli,0759309566,403 Mama Ngina St,Apt 68,64223,Nyeri,Nakuru Town,"Nyeri, Kenya",0,Dormant
147,Patrick Munee,Individual,Patrick,Munee,0754499327,926 Eldoret Ln,Apt 18,82295,Mombasa,Jomvu,"Mombasa, Kenya",0,Dormant
148,[Business] Hilton Residences,Business,Mwangi,Bizimana,0732106425,365 Eldoret Ln,Apt 51,71204,Meru,Molo,"Meru, Kenya",0,Dormant
149,[Business] Ole Sereni Palace,Business,Jean,Mbeki,0750072128,49 James Gichuru Rd,Apt 8,34237,Machakos,Kasarani,"Machakos, Kenya",0,Dormant
150,[Business] Ole Sereni Palace,Business,Jean,Mbeki,0767318715,164 Kiambu Rd,Apt 41,65700,Nairobi,Kesses,"Nairobi, Kenya",1,Active
151,Pierre Nkurunziza,Individual,Pierre,Nkurunziza,0784433892,955 Ngong Rd,Apt 99,63025,Nakuru,Jomvu,"Nakuru, Kenya",1,Active
152,Marie Wanyama,Individual,Marie,Wanyama,0781633869,678 Gigiri Rd,Apt 48,16685,Garissa,Kisumu Central,"Garissa, Kenya",1,Active
153,[Business] Voyager Manor,Business,Wanjiku,Hussein,0787157641,243 Buruburu Rd,Apt 82,33184,Baringo,Jomvu,"Baringo, Kenya",0,Dormant
154,Patrick Kabongo,Individual,Patrick,Kabongo,0782032491,222 Lavington Rd,Apt 78,8016,Isiolo,Muhoroni,"Isiolo, Kenya",1,Active
155,[Business] Boma Lodge,Business,Jacques,Mbeki,0734168759,338 Kenyatta Ave,Apt 43,71240,Nakuru,Gilgil,"Nakuru, Kenya",0,Dormant
156,[Business] Serena Suites,Business,Pierrette,Mugabe,0756445863,951 Donholm Rd,Apt 27,75804,Mandera,Embakasi,"Mandera, Kenya",0,Dormant
157,[Business] Baobab Hotel,Business,Njeri,Munzala,0750829482,213 Nakuru Blvd,Apt 29,41640,Meru,Gilgil,"Meru, Kenya",1,Active
158,[Business] Baobab Palace,Business,Claude,Zuma,0700556792,899 Kileleshwa Rd,Apt 6,11726,Meru,Kesses,"Meru, Kenya",1,Active
159,Alaine Hassan,Individual,Alaine,Hassan,0732424886,726 Kisumu Ave,Apt 45,86105,Marsabit,Likoni,"Marsabit, Kenya",0,Dormant
160,Wambui Kabila,Individual,Wambui,Kabila,0719956849,280 Lavington Rd,Apt 80,12034,Marsabit,Nakuru Town,"Marsabit, Kenya",0,Dormant
161,[Business] Villa Rosa Haven,Business,Patricia,Kagame,0776701325,12 Dennis Pritt Rd,Apt 28,84032,Embu,Nakuru Town,"Embu, Kenya",0,Dormant
162,[Business] Boma Haven,Business,Wanjiku,Kariuki,0766076040,380 Embakasi Rd,Apt 51,2737,Machakos,Eldoret East,"Machakos, Kenya",0,Dormant
163,[Business] Hemingways Resort,Business,Jean,Mutombo,0797632542,251 Mama Ngina St,Apt 65,44775,Kiambu,Changamwe,"Kiambu, Kenya",0,Dormant
164,[Business] Diani Suites,Business,Claude,Abdullahi,0745208261,340 Uhuru Hwy,Apt 68,22731,Kiambu,Jomvu,"Kiambu, Kenya",1,Active
165,[Business] Serena Haven,Business,Michel,Mandela,0726731974,516 South C Rd,Apt 88,79906,Kisumu,Naivasha,"Kisumu, Kenya",0,Dormant
166,Patrick Munyui,Individual,Patrick,Munyui,0756906169,57 Koinange St,Apt 97,14713,Embu,Eldoret East,"Embu, Kenya",0,Dormant
167,Jean Kiplagat,Individual,Jean,Kiplagat,0786630148,541 Westlands Rd,Apt 64,58942,Embu,Kasarani,"Embu, Kenya",0,Dormant
168,Joseph Mbeki,Individual,Joseph,Mbeki,0724542133,310 Thika Rd,Apt 8,90150,Wajir,Kisauni,"Wajir, Kenya",1,Active
169,[Business] Swahili Residences,Business,Alaine,Munyoki,0785282807,547 Mbagathi Way,Apt 33,32928,Tharaka-Nithi,Nyando,"Tharaka-Nithi, Kenya",0,Dormant
170,Pauline Yusuf,Individual,Pauline,Yusuf,0782351900,768 South B Rd,Apt 7,13479,Mandera,Nyali,"Mandera, Kenya",1,Active
